,has_background_num,has_skills_num,produced_quality_num,works_well_oth_num,is_motivated_num,demonstrates_lps_num,correct_job_level_num,will_succeed_num,hire_again_num,raises_bar_num,is_motivated_num,demonstrates_lps_num,correct_job_level_num,will_succeed_num,hire_again_num
has_background_num,1.0,0.7438610207813776,0.6019048434600551,0.41851747855366894,0.4793102937861789,0.447522440605371,0.3363733520811439,0.6272331013378993,0.6194996243458691,0.5919917572848443,0.4793102937861789,0.447522440605371,0.3363733520811439,0.6272331013378993,0.6194996243458691
has_skills_num,0.7438610207813776,1.0,0.7347123533641626,0.4747016220488242,0.5409930158371468,0.5497148905480974,0.3734908297680065,0.7094492955154043,0.6944793952240286,0.7070098194410814,0.5409930158371468,0.5497148905480974,0.3734908297680065,0.7094492955154043,0.6944793952240286
produced_quality_num,0.6019048434600551,0.7347123533641626,1.0,0.48112355694924636,0.5001805170083783,0.5556018702647533,0.2911018774124165,0.6682157749930121,0.7266859170421004,0.6816077018069638,0.5001805170083783,0.5556018702647533,0.2911018774124165,0.6682157749930121,0.7266859170421004
works_well_oth_num,0.41851747855366894,0.4747016220488242,0.48112355694924636,1.0,0.5994073095630377,0.6342401960328564,0.3465342524146512,0.5715372687989985,0.5935147177565757,0.5214053351691402,0.5994073095630377,0.6342401960328564,0.3465342524146512,0.5715372687989985,0.5935147177565757
is_motivated_num,0.4793102937861789,0.5409930158371468,0.5001805170083783,0.5994073095630377,1.0,0.6918272300374783,0.32844392791219224,0.5924981392865857,0.6847827269983298,0.6033152270450481,1.0,0.6918272300374783,0.32844392791219224,0.5924981392865857,0.6847827269983298
demonstrates_lps_num,0.447522440605371,0.5497148905480974,0.5556018702647533,0.6342401960328564,0.6918272300374783,1.0,0.3487029523988206,0.5981829777658181,0.6906224697960553,0.666544602438207,0.6918272300374783,1.0,0.3487029523988206,0.5981829777658181,0.6906224697960553
correct_job_level_num,0.3363733520811439,0.3734908297680065,0.2911018774124165,0.3465342524146512,0.32844392791219224,0.3487029523988206,1.0,0.4539929966897713,0.3658676250743792,0.36619248245635155,0.32844392791219224,0.34870295239882065,1.0,0.4539929966897713,0.3658676250743792
will_succeed_num,0.6272331013378993,0.7094492955154043,0.6682157749930121,0.5715372687989985,0.5924981392865857,0.5981829777658181,0.4539929966897713,1.0,0.7764259869621404,0.6968911137828163,0.5924981392865859,0.5981829777658179,0.45399299668977144,1.0,0.7764259869621404
hire_again_num,0.6194996243458691,0.6944793952240286,0.7266859170421004,0.5935147177565757,0.6847827269983298,0.6906224697960553,0.3658676250743792,0.7764259869621404,1.0,0.6847905031411337,0.6847827269983298,0.6906224697960553,0.3658676250743789,0.7764259869621406,1.0
raises_bar_num,0.5919917572848443,0.7070098194410814,0.6816077018069638,0.5214053351691402,0.6033152270450481,0.666544602438207,0.36619248245635155,0.6968911137828163,0.6847905031411337,1.0,0.6033152270450483,0.666544602438207,0.3661924824563514,0.6968911137828162,0.6847905031411337
is_motivated_num,0.4793102937861789,0.5409930158371468,0.5001805170083783,0.5994073095630377,1.0,0.6918272300374783,0.32844392791219224,0.5924981392865859,0.6847827269983298,0.6033152270450483,1.0,0.6918272300374783,0.32844392791219224,0.5924981392865857,0.6847827269983298
demonstrates_lps_num,0.447522440605371,0.5497148905480974,0.5556018702647533,0.6342401960328564,0.6918272300374783,1.0,0.34870295239882065,0.5981829777658179,0.6906224697960553,0.666544602438207,0.6918272300374783,1.0,0.3487029523988206,0.5981829777658181,0.6906224697960553
correct_job_level_num,0.3363733520811439,0.3734908297680065,0.2911018774124165,0.3465342524146512,0.32844392791219224,0.3487029523988206,1.0,0.45399299668977144,0.3658676250743789,0.3661924824563514,0.32844392791219224,0.3487029523988206,1.0,0.4539929966897713,0.3658676250743792
will_succeed_num,0.6272331013378993,0.7094492955154043,0.6682157749930121,0.5715372687989985,0.5924981392865857,0.5981829777658181,0.4539929966897713,1.0,0.7764259869621406,0.6968911137828162,0.5924981392865857,0.5981829777658181,0.4539929966897713,1.0,0.7764259869621404
hire_again_num,0.6194996243458691,0.6944793952240286,0.7266859170421004,0.5935147177565757,0.6847827269983298,0.6906224697960553,0.3658676250743792,0.7764259869621404,1.0,0.6847905031411337,0.6847827269983298,0.6906224697960553,0.3658676250743792,0.7764259869621404,1.0
