,has_background,has_skills,produced_quality,works_well_oth,is_motivated,demonstrates_LPs,correct_job_level,will_succeed,hire_again,raises_bar,is_motivated_num,demonstrates_lps_num,correct_job_level_num,will_succeed_num,hire_again_num
has_background,1.0,0.7185416064982295,0.5922455541542453,0.279809609956039,0.6525665015444936,0.6657857099156022,0.4422390302448336,0.6508351926099019,0.5183426354930623,0.639286313617026,0.5257973501130738,0.5540880346438654,0.47722477868120483,0.6078465943749276,0.4149655944097395
has_skills,0.7185416064982295,1.0,0.7476144134651828,0.4202366730834759,0.6932534246414118,0.8043851188229356,0.46647396177444017,0.6836969681939247,0.662887383652882,0.7055380371663135,0.6419361908172887,0.7341927972399194,0.5557810571001219,0.5468051860543313,0.4800989431365973
produced_quality,0.5922455541542453,0.7476144134651828,1.0,0.4919019782977804,0.6908748097388784,0.7870561053938426,0.48101118635419626,0.677713660947293,0.7298996270828312,0.7757505454497937,0.6300924812017695,0.7135353318526243,0.4165041405301348,0.5314723956939883,0.526189295447681
works_well_oth,0.279809609956039,0.4202366730834759,0.4919019782977804,1.0,0.4128670779291033,0.5359927052241595,0.3879867324887525,0.34694433324435575,0.4783834586466167,0.4372373160976029,0.5416794382117113,0.48929279797616543,0.5085806173129471,0.15311180047019105,0.41346153846153855
is_motivated,0.6525665015444936,0.6932534246414118,0.6908748097388784,0.4128670779291033,1.0,0.7330182397503561,0.41757971524829424,0.6050314510235101,0.6669106570620708,0.7010008401990626,1.0,0.6034838588836003,0.30479805100332913,0.49624583730729827,0.46755098307116433
demonstrates_LPs,0.6657857099156022,0.8043851188229356,0.7870561053938426,0.5359927052241595,0.7330182397503561,1.0,0.4715732931340657,0.6508587110824205,0.6918156200608417,0.709401981907345,0.6662539654306386,1.0,0.4437198701918959,0.46605510514537096,0.513692519183042
correct_job_level,0.4422390302448336,0.46647396177444017,0.48101118635419626,0.3879867324887525,0.41757971524829424,0.4715732931340657,1.0,0.49846226901323043,0.5611570227862724,0.4353233387933089,0.4373410620513938,0.4830809545739581,1.0,0.42920433270921143,0.43105640485415436
will_succeed,0.6508351926099019,0.6836969681939247,0.677713660947293,0.34694433324435575,0.6050314510235101,0.6508587110824205,0.49846226901323043,1.0,0.7577994647179345,0.7643195458652886,0.5403077687222381,0.43514529452685125,0.4643457334490262,1.0,0.6008583710687685
hire_again,0.5183426354930623,0.662887383652882,0.7298996270828312,0.4783834586466167,0.6669106570620708,0.6918156200608417,0.5611570227862724,0.7577994647179345,1.0,0.7824246709115003,0.5203912081145948,0.48890280600654745,0.46764349476124717,0.6063642783041658,1.0
raises_bar,0.639286313617026,0.7055380371663135,0.7757505454497937,0.4372373160976029,0.7010008401990626,0.709401981907345,0.4353233387933089,0.7643195458652886,0.7824246709115003,1.0,0.6093526519506501,0.5597238254295526,0.42007341022606665,0.6981380619714299,0.7341078245002643
is_motivated_num,0.5257973501130738,0.6419361908172887,0.6300924812017695,0.5416794382117113,1.0,0.6662539654306386,0.4373410620513938,0.5403077687222381,0.5203912081145948,0.6093526519506501,1.0,0.6034115877159647,0.38213211777698064,0.44176756661584454,0.4091939676412502
demonstrates_lps_num,0.5540880346438654,0.7341927972399194,0.7135353318526243,0.48929279797616543,0.6034838588836003,1.0,0.4830809545739581,0.43514529452685125,0.48890280600654745,0.5597238254295526,0.6034115877159647,1.0,0.4957608971090767,0.4351452945268512,0.46577333653501235
correct_job_level_num,0.47722477868120483,0.5557810571001219,0.4165041405301348,0.5085806173129471,0.30479805100332913,0.4437198701918959,1.0,0.4643457334490262,0.46764349476124717,0.42007341022606665,0.38213211777698064,0.4957608971090767,1.0,0.42547787652176744,0.4387607275288139
will_succeed_num,0.6078465943749276,0.5468051860543313,0.5314723956939883,0.15311180047019105,0.49624583730729827,0.46605510514537096,0.42920433270921143,1.0,0.6063642783041658,0.6981380619714299,0.44176756661584454,0.4351452945268512,0.42547787652176744,1.0,0.6008583710687685
hire_again_num,0.4149655944097395,0.4800989431365973,0.526189295447681,0.41346153846153855,0.46755098307116433,0.513692519183042,0.43105640485415436,0.6008583710687685,1.0,0.7341078245002643,0.4091939676412502,0.46577333653501235,0.4387607275288139,0.6008583710687685,1.0
